index,title,genres
0,Avatar,"Action,Adventure,Fantasy,Science Fiction"
1,Pirates of the Caribbean: At World's End,"Adventure,Fantasy,Action"
2,Spectre,"Action,Adventure,Crime"
3,The Dark Knight Rises,"Action,Crime,Drama,Thriller"
4,John Carter,"Action,Adventure,Science Fiction"
5,Spider-Man 3,"Fantasy,Action,Adventure"
6,Tangled,"Animation,Family"
7,Avengers: Age of Ultron,"Action,Adventure,Science Fiction"
8,Harry Potter and the Half-Blood Prince,"Adventure,Fantasy,Family"
9,Batman v Superman: Dawn of Justice,"Action,Adventure,Fantasy"
10,Superman Returns,"Adventure,Fantasy,Action,Science Fiction"
11,Quantum of Solace,"Adventure,Action,Thriller,Crime"
12,Pirates of the Caribbean: Dead Man's Chest,"Adventure,Fantasy,Action"
13,The Lone Ranger,"Action,Adventure,Western"
14,Man of Steel,"Action,Adventure,Fantasy,Science Fiction"
15,The Chronicles of Narnia: Prince Caspian,"Adventure,Family,Fantasy"
16,The Avengers,"Science Fiction,Action,Adventure"
17,Pirates of the Caribbean: On Stranger Tides,"Adventure,Action,Fantasy"
18,Men in Black 3,"Action,Comedy,Science Fiction"
19,The Hobbit: The Battle of the Five Armies,"Action,Adventure,Fantasy"
20,The Amazing Spider-Man,"Action,Adventure,Fantasy"
21,Robin Hood,"Action,Adventure"
22,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy"
23,The Golden Compass,"Adventure,Fantasy"
24,King Kong,"Adventure,Drama,Action"
25,Titanic,"Drama,Romance,Thriller"
26,Captain America: Civil War,"Adventure,Action,Science Fiction"
27,Battleship,"Thriller,Action,Adventure,Science Fiction"
28,Jurassic World,"Action,Adventure,Science Fiction,Thriller"
29,Skyfall,"Action,Adventure,Thriller"
30,Spider-Man 2,"Action,Adventure,Fantasy"
31,Iron Man 3,"Action,Adventure,Science Fiction"
32,Alice in Wonderland,"Family,Fantasy,Adventure"
33,X-Men: The Last Stand,"Adventure,Action,Science Fiction,Thriller"
34,Monsters University,"Animation,Family"
35,Transformers: Revenge of the Fallen,"Science Fiction,Action,Adventure"
36,Transformers: Age of Extinction,"Science Fiction,Action,Adventure"
37,Oz: The Great and Powerful,"Fantasy,Adventure,Family"
38,The Amazing Spider-Man 2,"Action,Adventure,Fantasy"
39,TRON: Legacy,"Adventure,Action,Science Fiction"
40,Cars 2,"Animation,Family,Adventure,Comedy"
41,Green Lantern,"Adventure,Action,Thriller,Science Fiction"
42,Toy Story 3,"Animation,Family,Comedy"
43,Terminator Salvation,"Action,Science Fiction,Thriller"
44,Furious 7,Action
45,World War Z,"Action,Drama,Horror,Science Fiction,Thriller"
46,X-Men: Days of Future Past,"Action,Adventure,Fantasy,Science Fiction"
47,Star Trek Into Darkness,"Action,Adventure,Science Fiction"
48,Jack the Giant Slayer,"Action,Family,Fantasy"
49,The Great Gatsby,"Drama,Romance"
50,Prince of Persia: The Sands of Time,"Adventure,Fantasy,Action,Romance"
51,Pacific Rim,"Action,Science Fiction,Adventure"
52,Transformers: Dark of the Moon,"Action,Science Fiction,Adventure"
53,Indiana Jones and the Kingdom of the Crystal Skull,"Adventure,Action"
54,The Good Dinosaur,"Adventure,Animation,Family"
55,Brave,"Animation,Adventure,Comedy,Family,Action,Fantasy"
56,Star Trek Beyond,"Action,Adventure,Science Fiction"
57,WALL·E,"Animation,Family"
58,Rush Hour 3,"Action,Comedy,Crime,Thriller"
59,2012,"Action,Adventure,Science Fiction"
60,A Christmas Carol,"Animation,Drama"
61,Jupiter Ascending,"Science Fiction,Fantasy,Action,Adventure"
62,The Legend of Tarzan,"Action,Adventure"
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure,Family,Fantasy"
64,X-Men: Apocalypse,Science Fiction
65,The Dark Knight,"Drama,Action,Crime,Thriller"
66,Up,"Animation,Comedy,Family,Adventure"
67,Monsters vs Aliens,"Animation,Family,Adventure,Science Fiction"
68,Iron Man,"Action,Science Fiction,Adventure"
69,Hugo,"Adventure,Drama,Family"
70,Wild Wild West,"Action,Adventure,Comedy,Science Fiction,Western"
71,The Mummy: Tomb of the Dragon Emperor,"Adventure,Action,Fantasy"
72,Suicide Squad,"Action,Adventure,Crime,Fantasy,Science Fiction"
73,Evan Almighty,"Fantasy,Comedy,Family"
74,Edge of Tomorrow,"Action,Science Fiction"
75,Waterworld,"Adventure,Action"
76,G.I. Joe: The Rise of Cobra,"Adventure,Action,Thriller,Science Fiction"
77,Inside Out,"Drama,Comedy,Animation,Family"
78,The Jungle Book,"Family,Adventure,Drama,Fantasy"
79,Iron Man 2,"Adventure,Action,Science Fiction"
80,Snow White and the Huntsman,"Adventure,Fantasy,Drama"
81,Maleficent,"Fantasy,Adventure,Action,Family,Romance"
82,Dawn of the Planet of the Apes,"Science Fiction,Action,Drama,Thriller"
83,The Lovers,"Action,Adventure,Science Fiction,Romance"
84,47 Ronin,"Drama,Action,Adventure,Fantasy"
85,Captain America: The Winter Soldier,"Action,Adventure,Science Fiction"
86,Shrek Forever After,"Comedy,Adventure,Fantasy,Animation,Family"
87,Tomorrowland,"Adventure,Family,Mystery,Science Fiction"
88,Big Hero 6,"Adventure,Family,Animation,Action,Comedy"
89,Wreck-It Ralph,"Family,Animation,Comedy,Adventure"
90,The Polar Express,"Adventure,Animation,Family,Fantasy"
91,Independence Day: Resurgence,"Action,Adventure,Science Fiction"
92,How to Train Your Dragon,"Fantasy,Adventure,Animation,Family"
93,Terminator 3: Rise of the Machines,"Action,Thriller,Science Fiction"
94,Guardians of the Galaxy,"Action,Science Fiction,Adventure"
95,Interstellar,"Adventure,Drama,Science Fiction"
96,Inception,"Action,Thriller,Science Fiction,Mystery,Adventure"
97,Shin Godzilla,"Action,Adventure,Drama,Horror,Science Fiction"
98,The Hobbit: An Unexpected Journey,"Adventure,Fantasy,Action"
99,The Fast and the Furious,"Action,Crime,Thriller"
100,The Curious Case of Benjamin Button,"Fantasy,Drama,Thriller,Mystery,Romance"
101,X-Men: First Class,"Action,Science Fiction,Adventure"
102,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Science Fiction"
103,The Sorcerer's Apprentice,"Fantasy,Adventure,Action,Comedy,Drama"
104,Poseidon,"Adventure,Action,Drama,Thriller"
105,Alice Through the Looking Glass,Fantasy
106,Shrek the Third,"Fantasy,Adventure,Animation,Comedy,Family"
107,Warcraft,"Action,Adventure,Fantasy"
108,Terminator Genisys,"Science Fiction,Action,Thriller,Adventure"
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy"
110,Pearl Harbor,"History,Romance,War"
111,Transformers,"Adventure,Science Fiction,Action"
112,Alexander,"War,History,Action,Adventure,Drama,Romance"
113,Harry Potter and the Order of the Phoenix,"Adventure,Fantasy,Family,Mystery"
114,Harry Potter and the Goblet of Fire,"Adventure,Fantasy,Family"
115,Hancock,"Fantasy,Action"
116,I Am Legend,"Drama,Horror,Action,Thriller,Science Fiction"
117,Charlie and the Chocolate Factory,"Adventure,Comedy,Family,Fantasy"
118,Ratatouille,"Animation,Comedy,Family,Fantasy"
119,Batman Begins,"Action,Crime,Drama"
120,Madagascar: Escape 2 Africa,"Family,Animation"
121,Night at the Museum: Battle of the Smithsonian,"Adventure,Fantasy,Action,Comedy,Family"
122,X-Men Origins: Wolverine,"Adventure,Action,Thriller,Science Fiction"
123,The Matrix Revolutions,"Adventure,Action,Thriller,Science Fiction"
124,Frozen,"Animation,Adventure,Family"
125,The Matrix Reloaded,"Adventure,Action,Thriller,Science Fiction"
126,Thor: The Dark World,"Action,Adventure,Fantasy"
127,Mad Max: Fury Road,"Action,Adventure,Science Fiction,Thriller"
128,Angels & Demons,"Thriller,Mystery"
129,Thor,"Adventure,Fantasy,Action"
130,Bolt,"Animation,Family,Adventure,Comedy"
131,G-Force,"Fantasy,Action,Adventure,Family,Comedy"
132,Wrath of the Titans,Adventure
133,Dark Shadows,"Comedy,Fantasy"
134,Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller"
135,The Wolfman,"Drama,Horror,Thriller"
136,Bee Movie,"Family,Animation,Adventure,Comedy"
137,Kung Fu Panda 2,"Animation,Family"
138,The Last Airbender,"Action,Adventure,Family,Fantasy"
139,Mission: Impossible III,"Adventure,Action,Thriller"
140,White House Down,"Action,Drama,Thriller"
141,Mars Needs Moms,"Adventure,Animation,Family"
142,Flushed Away,"Adventure,Animation,Comedy,Family"
143,Pan,"Adventure,Family,Fantasy"
144,Mr. Peabody & Sherman,"Animation,Adventure,Family"
145,Troy,"Adventure,Drama,War"
146,Madagascar 3: Europe's Most Wanted,"Animation,Family"
147,Die Another Day,"Adventure,Action,Thriller"
148,Ghostbusters,"Action,Fantasy,Comedy"
149,Armageddon,"Action,Thriller,Science Fiction,Adventure"
150,Men in Black II,"Action,Adventure,Comedy,Science Fiction"
151,Beowulf,"Adventure,Action,Animation"
152,Kung Fu Panda 3,"Action,Adventure,Animation,Comedy,Family"
153,Mission: Impossible - Ghost Protocol,"Action,Thriller,Adventure"
